EID,Xvalue,Yvalue,Zvalue,time
18366,-6.71334171295166,-13.648146629333494,4.171896457672118,2017-04-14 20:28:32.171
18367,-6.7025675773620605,-10.915165901184082,5.6443305015563965,2017-04-14 20:28:32.181
18368,-6.7719993591308585,-9.764751434326172,5.096058368682861,2017-04-14 20:28:32.191
18369,-6.5696892738342285,-9.977835655212402,3.8331170082092285,2017-04-14 20:28:32.201
18370,-6.439205646514893,-9.692925453186037,3.9480385780334473,2017-04-14 20:28:32.211
18371,-6.027402877807617,-8.672995567321777,4.126406669616698,2017-04-14 20:28:32.221
18372,-5.762843608856201,-7.948749542236327,3.4272997379302983,2017-04-14 20:28:32.231
18373,-5.589263916015625,-7.286752700805664,2.823961019515991,2017-04-14 20:28:32.241
18374,-4.787206172943115,-6.481103897094728,1.8674772977828984,2017-04-14 20:28:32.251
18375,-4.261679172515868,-6.30752420425415,0.8954314589500427,2017-04-14 20:28:32.262
18376,-4.580107688903809,-6.785167694091798,0.31603461503982544,2017-04-14 20:28:32.272
18377,-4.37420654296875,-7.326257228851317,-0.3232172429561615,2017-04-14 20:28:32.281
18378,-4.019864559173584,-7.5968017578125,-0.8810662031173706,2017-04-14 20:28:32.291
18379,-4.219780445098877,-7.7201032638549805,-0.9373299479484558,2017-04-14 20:28:32.301
18380,-4.8291049003601065,-7.800309181213379,-0.9421183466911316,2017-04-14 20:28:32.312
18381,-4.780023574829102,-8.419210433959961,0.333991140127182,2017-04-14 20:28:32.321
18382,-4.7584757804870605,-9.13387966156006,1.502361536026001,2017-04-14 20:28:32.332
18383,-4.626794815063477,-9.091980934143066,1.8830395936965945,2017-04-14 20:28:32.342
18384,-4.334702014923097,-8.398859977722168,1.620874524116516,2017-04-14 20:28:32.354
18385,-4.005499362945557,-7.671022415161133,0.8762778043746948,2017-04-14 20:28:32.363
18386,-3.658340215682984,-7.041347026824951,0.17238251864910126,2017-04-14 20:28:32.371
18387,-3.2956185340881348,-6.531382083892822,-0.3998316824436188,2017-04-14 20:28:32.381
18388,-3.7481226921081534,-6.422446250915527,-0.9289502501487732,2017-04-14 20:28:32.392
18389,-4.547786235809326,-6.540958881378174,-1.3611036539077759,2017-04-14 20:28:32.401
18390,-5.479130744934082,-6.543353080749513,-1.4149732589721682,2017-04-14 20:28:32.411
18391,-6.423643112182617,-6.71334171295166,-1.2832920551300049,2017-04-14 20:28:32.421
18392,-6.965929985046388,-6.962338447570801,-1.2713210582733154,2017-04-14 20:28:32.431
18393,-7.170634269714356,-7.208941459655763,-1.3443442583084106,2017-04-14 20:28:32.441
18394,-6.975506782531737,-7.46033239364624,-1.0079588890075684,2017-04-14 20:28:32.451
18395,-6.824671745300293,-7.979874134063723,-0.7098808288574219,2017-04-14 20:28:32.462
18396,-6.876147270202638,-8.47667121887207,-0.3615244626998901,2017-04-14 20:28:32.471
18397,-6.740874767303468,-8.480262756347656,-0.015562310814857485,2017-04-14 20:28:32.481
18398,-6.100425720214844,-7.9212164878845215,0.39145198464393616,2017-04-14 20:28:32.491
18399,-5.656301498413086,-7.526173114776611,0.889445960521698,2017-04-14 20:28:32.501
18400,-5.953182697296143,-8.04930591583252,1.5107412338256836,2017-04-14 20:28:32.511
18401,-6.5277910232543945,-8.9866361618042,2.183511972427368,2017-04-14 20:28:32.521
18402,-6.920440196990968,-9.715670585632324,2.1344308853149414,2017-04-14 20:28:32.531
18403,-7.4998369216918945,-10.093954086303713,1.1504138708114624,2017-04-14 20:28:32.543
18404,-7.940370082855225,-10.126276016235352,0.11851298063993455,2017-04-14 20:28:32.552
18405,-8.726864814758299,-10.1382474899292,-0.4991910457611084,2017-04-14 20:28:32.562
18406,-10.18493366241455,-10.533289909362793,-0.8738836050033569,2017-04-14 20:28:32.571
18407,-11.978191375732422,-10.826580047607422,-0.9385270476341248,2017-04-14 20:28:32.581
18408,-13.30577564239502,-10.340557098388672,-1.0211269855499268,2017-04-14 20:28:32.592
18409,-13.806163787841795,-9.642647743225098,-1.502361536026001,2017-04-14 20:28:32.601
18410,-13.073538780212402,-9.43914031982422,-2.40736985206604,2017-04-14 20:28:32.611
18411,-11.289857864379885,-9.898826599121094,-3.3028011322021484,2017-04-14 20:28:32.621
18412,-9.240421295166016,-10.041281700134276,-3.45962142944336,2017-04-14 20:28:32.631
18413,-7.661445617675781,-9.828198432922363,-3.8355112075805664,2017-04-14 20:28:32.642
18414,-6.603208065032959,-9.575610160827637,-5.103240966796875,2017-04-14 20:28:32.651
18415,-6.427234649658202,-9.497797966003418,-6.279991149902344,2017-04-14 20:28:32.661
